license_no,restaurant_name,cuisine,area,emirate,inspection_count_2023_2026,violation_count_2023_2026,major_violation_count,repeat_offender_flag,closure_events,ever_closed_flag,dm_star_rating,last_inspection_date
DM-100001,Restaurant 1,Korean,Al Barsha,Dubai,7,15,12,0,1,1,5,13-09-2024
DM-100002,Restaurant 2,French,JLT,Dubai,10,4,0,0,0,0,3,28-05-2024
DM-100003,Restaurant 3,Mexican,Silicon Oasis,Dubai,12,2,2,0,1,1,1,07-11-2024
DM-100004,Restaurant 4,French,Silicon Oasis,Dubai,2,10,9,0,1,1,4,23-02-2024
DM-100005,Restaurant 5,American,Downtown,Dubai,8,0,0,1,0,0,5,27-03-2025
DM-100006,Restaurant 6,Lebanese,Deira,Dubai,10,10,1,1,1,1,2,27-01-2024
DM-100007,Restaurant 7,Mexican,DIFC,Dubai,4,14,1,0,0,0,5,14-06-2023
DM-100008,Restaurant 8,Japanese,Silicon Oasis,Dubai,8,9,1,0,1,1,5,26-01-2026
DM-100009,Restaurant 9,Japanese,Silicon Oasis,Dubai,4,12,5,1,1,1,1,10-05-2024
DM-100010,Restaurant 10,Chinese,Jumeirah,Dubai,4,8,7,0,0,0,5,22-05-2023
DM-100011,Restaurant 11,Indian,Jumeirah,Dubai,3,12,11,0,0,0,1,10-12-2025
DM-100012,Restaurant 12,Chinese,Silicon Oasis,Dubai,4,8,7,0,1,1,5,05-10-2025
DM-100013,Restaurant 13,Persian,JLT,Dubai,2,3,3,0,1,1,5,17-11-2024
DM-100014,Restaurant 14,Korean,Marina,Dubai,4,7,5,0,1,1,1,16-12-2023
DM-100015,Restaurant 15,Japanese,Al Barsha,Dubai,1,7,0,0,0,0,2,30-12-2025
DM-100016,Restaurant 16,Turkish,Bur Dubai,Dubai,1,3,3,0,0,0,2,07-07-2023
DM-100017,Restaurant 17,Japanese,Bur Dubai,Dubai,1,5,5,0,0,0,2,11-09-2023
DM-100018,Restaurant 18,French,Marina,Dubai,12,13,9,0,0,0,5,27-07-2023
DM-100019,Restaurant 19,Korean,Business Bay,Dubai,2,9,5,0,0,0,1,12-06-2025
DM-100020,Restaurant 20,Pakistani,Deira,Dubai,9,3,3,1,0,0,5,13-02-2024
DM-100021,Restaurant 21,Chinese,JLT,Dubai,12,6,6,1,2,1,2,29-04-2023
DM-100022,Restaurant 22,Thai,Jumeirah,Dubai,3,8,1,0,1,1,5,24-06-2025
DM-100023,Restaurant 23,Persian,Jumeirah,Dubai,1,9,5,0,1,1,4,06-03-2025
DM-100024,Restaurant 24,Korean,Business Bay,Dubai,3,2,1,0,0,0,4,04-04-2023
DM-100025,Restaurant 25,American,Business Bay,Dubai,3,11,9,0,0,0,4,12-08-2024
DM-100026,Restaurant 26,Persian,JLT,Dubai,10,13,13,0,1,1,4,15-06-2023
DM-100027,Restaurant 27,Arabic,DIFC,Dubai,4,7,7,1,0,0,2,14-02-2025
DM-100028,Restaurant 28,Lebanese,DIFC,Dubai,7,13,12,0,1,1,5,06-04-2023
DM-100029,Restaurant 29,Pakistani,Downtown,Dubai,2,14,8,0,1,1,2,24-09-2025
DM-100030,Restaurant 30,Mexican,Silicon Oasis,Dubai,10,10,4,0,0,0,4,14-08-2025
DM-100031,Restaurant 31,Arabic,Al Barsha,Dubai,4,12,10,0,0,0,1,05-05-2025
DM-100032,Restaurant 32,Japanese,Deira,Dubai,4,3,1,0,0,0,5,01-09-2023
DM-100033,Restaurant 33,Turkish,Marina,Dubai,5,3,3,1,2,1,2,23-03-2025
DM-100034,Restaurant 34,Persian,Bur Dubai,Dubai,1,3,2,0,1,1,4,01-10-2023
